2026-06-03T06:45:21.164Z REQUEST GET /health
2026-06-03T06:45:21.209Z REQUEST POST /search/document
2026-06-03T06:45:21.222Z REQUEST POST /search/upload
2026-06-03T06:49:24.971Z REQUEST 1780469364971-v1gqg6 GET /health
2026-06-03T06:49:25.039Z REQUEST 1780469365039-1tllej POST /search/document
2026-06-03T06:49:25.056Z REQUEST 1780469365056-gr4sci POST /search/upload
2026-06-03T06:51:13.057Z REQUEST 1780469473056-elzbxq POST /search/upload
2026-06-03T06:52:05.165Z REQUEST 1780469525165-qi86gt GET /health
2026-06-03T06:52:05.208Z REQUEST 1780469525208-qpu3ym POST /search/document
2026-06-03T06:52:05.222Z REQUEST 1780469525222-mu62pr POST /search/upload
2026-06-03T06:54:30.993Z REQUEST 1780469670993-9uyl5n POST /search/upload
2026-06-03T06:54:56.297Z REQUEST 1780469696297-4y76mm POST /search/upload
2026-06-03T06:54:59.768Z REQUEST 1780469699768-upug71 POST /search/upload
2026-06-03T07:03:29.047Z REQUEST 1780470209047-gzr3ru POST /search/upload
2026-06-03T07:06:25.495Z REQUEST 1780470385495-6hk8fl GET /health
2026-06-03T07:06:25.538Z REQUEST 1780470385538-4rcxg2 POST /search/document
2026-06-03T07:06:25.555Z REQUEST 1780470385554-1wm2am POST /search/upload
2026-06-03T07:12:13.176Z REQUEST 1780470733176-ucgelt GET /health
2026-06-03T07:13:09.499Z REQUEST 1780470789499-bub707 POST /search/upload
2026-06-03T07:13:16.674Z REQUEST 1780470796673-18axva POST /search/upload
2026-06-03T07:13:24.121Z REQUEST 1780470804120-p4iic8 POST /search/upload
2026-06-03T07:13:28.314Z REQUEST 1780470808314-qdezsg POST /search/upload
2026-06-03T07:13:53.926Z REQUEST 1780470833926-f3g81y POST /search/upload
2026-06-03T07:14:11.270Z REQUEST 1780470851270-pfgdmh POST /search/upload
2026-06-03T07:14:32.578Z REQUEST 1780470872577-1l6lyb POST /search/upload
2026-06-03T07:14:37.135Z REQUEST 1780470877134-31ct6j POST /search/upload
2026-06-03T07:16:22.830Z REQUEST 1780470982830-dkem0k POST /search/upload
2026-06-03T14:02:28.391Z REQUEST 1780495348391-pef5vd GET /favicon.ico
2026-06-03T14:05:30.727Z REQUEST 1780495530726-omtrto GET /favicon.ico
2026-06-10T04:27:54.288Z REQUEST 1781065674287-5m1xfv GET /favicon.ico
2026-06-10T06:22:51.223Z REQUEST 1781072571222-al8f20 GET /favicon.ico
2026-06-17T06:48:53.153Z REQUEST 1781678933153-inqv1e POST /search/upload
